Residence,Korea - Urban,Korea - Rural,Korea - Total,Surguja - Rural,Surguja - Total,Jashpur - Rural,Jashpur - Total,Raigarh - Rural,Raigarh - Total,Korba - Urban,Korba - Rural,Korba - Total,Janjgir - Champa - Rural,Janjgir - Champa - Total,Bilaspur - Rural,Bilaspur - Total,Kabirdham - Rural,Kabirdham - Total,Rajnandgaon - Rural,Rajnandgaon - Total,Durg - Urban,Durg - Rural,Durg - Total,Raipur - Urban,Raipur - Rural,Raipur - Total,Mahasamund - Rural,Mahasamund - Total,Dhamtari - Rural,Dhamtari - Total,Uttar Bastar Kanker - Rural,Uttar Bastar Kanker - Total,Bastar - Rural,Bastar - Total,Narayanpur - Rural,Narayanpur - Total,Dakshin Bastar Dantewada - Rural,Dakshin Bastar Dantewada - Total,Bijapur - Rural,Bijapur - Total,Note of Korea - Urban,Note of Korea - Rural,Note of Korea - Total,Note of Surguja - Rural,Note of Surguja - Total,Note of Jashpur - Rural,Note of Jashpur - Total,Note of Raigarh - Rural,Note of Raigarh - Total,Note of Korba - Urban,Note of Korba - Rural,Note of Korba - Total,Note of Janjgir - Champa - Rural,Note of Janjgir - Champa - Total,Note of Bilaspur - Rural,Note of Bilaspur - Total,Note of Kabirdham - Rural,Note of Kabirdham - Total,Note of Rajnandgaon - Rural,Note of Rajnandgaon - Total,Note of Durg - Urban,Note of Durg - Rural,Note of Durg - Total,Note of Raipur - Urban,Note of Raipur - Rural,Note of Raipur - Total,Note of Mahasamund - Rural,Note of Mahasamund - Total,Note of Dhamtari - Rural,Note of Dhamtari - Total,Note of Uttar Bastar Kanker - Rural,Note of Uttar Bastar Kanker - Total,Note of Bastar - Rural,Note of Bastar - Total,Note of Narayanpur - Rural,Note of Narayanpur - Total,Note of Dakshin Bastar Dantewada - Rural,Note of Dakshin Bastar Dantewada - Total,Note of Bijapur - Rural,Note of Bijapur - Total
39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),30.22,30.63,30.52,12.26,13.12,14.87,15.49,32.68,34.62,21.12,19.52,20.01,23.89,24.51,40.45,42.44,32.34,32.96,55.93,54.51,26.37,18.12,21.33,51.42,45.49,47.61,26.51,28.02,50.2,55.46,28.14,32.41,39.3,38.97,42.49,42.57,25.89,31.54,28.75,30.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40. Institutional births (%),82.18,66.74,70.67,63.31,64.7,60.28,60.79,64.65,66.79,81.1,61.3,67.05,61.63,62.36,73.08,77.63,44.32,44.62,84.78,83.52,84.08,64.46,71.87,80.18,63.53,69.13,77.87,77.94,80.88,82.63,75.02,77.5,62.13,66.35,57.46,61.25,53.69,58.25,74.63,75.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41. Institutional births in public facility (%),59.3,59.58,59.51,55.9,55.46,46.69,47.33,55.03,54.3,40.92,52.71,49.29,41.2,39.86,67.67,67.23,38.15,36.05,80.24,76.63,48.17,53.37,51.41,42.32,48.34,46.32,60.56,58.91,61.82,62.7,62.93,60.05,58.51,60.05,56.05,59.48,52.08,54.79,73.76,73.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),3.99,8.71,7.5,5.74,5.24,6.81,6.78,12.63,11.7,4.99,6.76,6.25,6.4,7.58,9.21,7.49,10.05,11.49,8.03,8.61,5.45,13.95,10.74,9.86,10.29,10.15,6.78,7.26,10.2,8.03,6.14,5.53,9.24,8.39,10.8,10.71,7.17,7.1,7.42,6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43. Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),85.53,74.49,77.3,66.05,66.95,66.07,66.58,75.21,76.65,86.08,67.27,72.73,67.61,69.6,82.29,85.12,54.37,56.11,92.61,91.97,89.24,78.41,82.5,89.42,73.12,78.6,84.36,84.93,90.66,90.32,81.16,83.03,71.37,74.75,68.1,71.83,60.95,65.42,81.48,81.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44. Births delivered by caesarean section (%),17.69,8.81,11.07,7.77,9.41,7.2,7.31,8.09,8.16,17.68,5.81,9.26,10.35,10.64,5.97,7.64,5.6,6.78,6.56,6.55,20.34,9.25,13.45,26.47,11.55,16.57,7.66,8.68,11.84,13.02,9.28,11.18,1.22,2.79,2.32,2.93,2.5,4.72,6.05,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45. Births in a private health facility delivered by caesarean section (%),59.7,84.15,71.39,35.85,37.2,43.55,43.8,43.44,35.76,38.49,45.77,40.99,49.22,46.2,NA,44.61,63.31,61.2,NA,23.28,40.75,56.79,46.15,56.08,55,55.6,34.32,35.98,56.96,58.94,54.97,50.44,NA,37.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,NA,NA,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,*,*,*,*,*,*
46. Births in a public health facility delivered by caesarean section (%),6.8,4.67,5.21,9.14,10.76,2.76,2.99,7.11,6.8,5.41,3.56,4.01,0.71,0.61,4.29,4.47,4.44,4.26,6.53,6.45,11.86,5.54,7.78,12.38,6.61,8.38,2.84,3.12,1.58,2.03,4.19,3.96,0.89,0.76,3.51,4.39,3.25,5.99,7.72,7.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),80.06,72.82,74.58,62.89,64.33,48.5,50.43,67.07,68.52,87.16,77.54,80.79,69.86,70.47,81.24,81.98,57.51,61.49,87.01,87.07,91.68,89.57,90.39,83.33,78.74,80.14,72.73,74.82,87.56,88.15,82.67,81.98,73.73,71.57,61.43,62.37,62.06,66.05,80.45,83.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48. Children age 12-23 months who have received BCG (%),98.67,96.54,97.06,97.15,97.44,94.97,95.16,94.2,94.64,100,98.71,99.14,100,98.7,100,97.84,98.51,98.65,100,100,100,100,100,94.82,100,98.42,98.43,98.55,96.97,97.52,100,100,100,100,95.1,95.42,98.88,99.05,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49. Children age 12-23 months who have received 3 doses of polio vaccine (%),83.22,81.43,81.87,70.46,72.5,63.37,64.74,73.02,74.02,87.16,83.21,84.54,79.47,79.47,91.24,90.44,66.27,69.44,87.01,87.07,93.39,89.57,91.05,85.39,81.2,82.47,79.12,80.72,92.46,93.82,86.31,85.12,77.6,75.49,69.07,69.51,73.41,77.59,85.26,87.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50. Children age 12-23 months who have received 3 doses of DPT vaccine (%),86.7,83.12,83.99,86.48,86.47,78.47,79.27,89.01,89.84,92.1,91.63,91.79,86.94,88.24,98.79,96.82,79.11,81.07,97.92,98.31,100,95.25,97.09,86.85,91.64,90.18,89.84,90.61,98.36,98.66,94.74,95.47,92.35,92.69,81.1,80.74,90.02,91.59,92.29,93.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51. Children age 12-23 months who have received measles vaccine (%),96.35,83.34,86.51,93.96,94.57,81.92,82.6,94.37,94.8,100,91.57,94.42,96.16,95.63,91.21,92.57,93.51,94.12,97.92,98.31,98.28,96.88,97.43,90.47,95.17,93.74,92.06,92.67,94.84,94.12,98.22,98.47,93.5,94.18,84.32,85.35,87.43,87.43,95.35,96.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52. Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),79.87,72.39,74.21,68.69,70.49,63.1,61.83,77.07,77.77,86.06,83.39,84.29,75,75.74,83.7,82.32,54.39,58.67,83.12,80.74,87.23,74.98,79.73,81.42,74.77,76.8,73.15,75.21,94.62,94.57,81.2,79.3,72.27,70.26,67.57,66.34,65.06,69.91,76.4,78.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),74.53,76.61,76.07,59.38,61.94,64.79,64.75,80.64,79.64,69.58,64.65,66.15,59.63,61.67,79.9,79.48,73.26,73.91,75.48,76.58,68.47,75.1,72.53,77.91,66.73,70.65,58.97,58.92,68.32,60.29,70.25,69.29,64.36,65.82,68.85,69.83,63.96,65.06,78.11,77.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54. Children age 12-23 months who received most of the vaccinations in public health facility (%),96.32,98.64,98.07,100,98.26,98.27,98.33,91.87,91.08,74.75,98.83,90.62,98.09,98.47,100,98.92,98.75,98.87,100,98.41,82.09,98.33,92.04,86.25,97.4,94.13,98.58,98.69,100,98.97,100,98.04,100,100,98.39,98.5,100,100,100,98.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55. Children age 12-23 months who received most of the vaccinations in private health facility (%),3.68,1.36,1.93,0,1.74,1.73,1.67,8.13,8.92,25.25,1.17,9.38,1.91,1.53,0,1.08,0,0,0,1.59,17.91,1.67,7.96,13.75,2.6,5.87,1.42,1.31,0,1.03,0,1.96,0,0,1.61,1.5,0,0,0.01,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56. Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),13.89,11.69,12.26,10.01,9.68,7.13,7.07,6.56,7.95,7.96,3.97,5.13,9.84,10.45,14.93,17.82,8.92,8.58,6.03,6.98,8.54,5.78,6.84,3.29,6.03,5.09,7.58,8.33,14.27,12.92,3.25,3.24,10.4,11.38,6.12,5.75,5.74,8.09,3.89,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57. Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),87.9,72.47,77,47.81,50.38,53.12,51.56,NA,65.92,65.68,NA,69.39,59.87,66.32,83.85,77.25,71.97,73.52,76.89,78.26,69.66,NA,61.16,NA,47.66,48.04,69.09,67.25,77.26,80.28,NA,NA,70.35,71.02,77.91,76.07,NA,67.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,NA,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,*,NA,NA,NA,NA,NA,NA,*,*,NA,NA,NA,NA,*,NA,*,*
58. Children with diarrhoea in the last 2 weeks who received zinc (%),46.15,36.94,39.64,17.56,21.61,12.41,12.05,NA,21.09,24.11,NA,19.42,14.18,13.39,53.17,42.16,29.28,30.45,44.43,47.34,30.14,NA,31.75,NA,8.29,9.62,15.8,22.81,28.64,30.39,NA,NA,28.13,22.63,20.97,19.58,NA,11.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,NA,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,*,NA,NA,NA,NA,NA,NA,*,*,NA,NA,NA,NA,*,NA,*,*
59. Children with diarrhoea in the last 2 weeks taken to a health facility (%),75.53,77.2,76.71,54.37,56.62,63.76,64.83,NA,74.08,79.48,NA,69.59,44.08,53.97,78.05,76.21,67.6,69.39,68.74,75.59,83.51,NA,74.19,NA,74.7,70.92,65.38,67.46,73.87,75.25,NA,NA,76.48,78.16,68.16,66.96,NA,74.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,NA,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,*,NA,NA,NA,NA,NA,NA,*,*,NA,NA,NA,NA,*,NA,*,*
60. Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),6.69,3.42,4.27,3.04,3.41,5.71,5.7,1.55,1.92,1.99,1.13,1.38,3.02,3.45,2.54,2.86,1.21,1.34,0.73,0.98,0.27,0.54,0.43,0,0.69,0.45,3.56,3.82,4.05,4.62,0.69,0.63,4.1,3.87,1.06,0.93,3.01,3.71,0.53,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61. Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),78.46,76.61,77.19,60.27,63.33,57.4,57.31,69.25,71.67,86.67,48.47,61.14,63.79,62.06,72.25,76.34,63.81,62.03,81.24,82.87,77.86,64.88,69.17,NA,77.42,73.63,68.17,66.51,73.69,76.81,NA,NA,67.55,68.51,64.25,66.08,74.69,77.24,82.99,83.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,NA,NA,NA,NA,NA,*,*,NA,NA,NA,NA,NA,NA,NA,NA
62. Children under age 3 years breastfed within one hour of birth8 (%),42.57,47.79,46.4,35.04,33.87,37.5,37.78,39.95,39.86,46.2,46.29,46.26,42.53,40.65,62.92,54.78,49.88,50.79,66.33,66.65,49.43,35.48,40.63,43.95,44.26,44.16,47.67,49.94,49.44,48.69,44.67,44.67,54.47,54.75,57.63,57.53,38.41,39.71,47.81,47.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63. Children under age 6 months exclusively breastfed9 (%),66.53,79.94,76.45,87.47,84.28,69.86,70.17,71.32,74.06,NA,82.25,81.87,64.77,67.43,81.64,82.11,85.85,84.93,85.35,84.58,48.28,55.66,52.85,62.82,86.11,78.76,75.03,75.71,NA,74.48,NA,70.58,66.23,68.53,78.77,77.87,69.69,70.62,82.1,82.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,*,NA,NA,NA,NA,NA,NA,NA,NA,NA
64. Children age 6-8 months receiving solid or semi-solid food and breastmilk9 (%),NA,NA,68.28,74.34,75.05,49.57,48.05,NA,NA,NA,65.13,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.82,NA,65.17,63.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,*,NA,NA,NA,NA,NA,*,*,*,NA,NA,*,*,*,*,*,*,*,*,*,*,NA,*,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,*
65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),9.54,15.35,13.93,12.2,12.64,10.44,10.9,13.57,12.73,6.9,6.91,6.91,18.44,18.73,9.77,12.86,14.66,14.63,9.71,13.5,4.97,2.17,3.21,18.1,7.53,10.71,19.06,19.63,13.78,11.26,4.88,4.4,8.19,8.86,4.48,4.12,5.7,7.17,5.46,6.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66. Non-breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
67. Total children age 6-23 months receiving an adequate diet9 10 (%),9.68,15.78,14.25,12.07,12.52,10.25,10.7,12.98,12.02,7.29,7.4,7.37,18.19,18.51,9.28,12.03,13.91,13.86,10.07,13.19,6.09,2.07,3.6,18.91,7.13,10.9,18.67,19.26,13.46,10.38,4.6,7.01,7.86,8.48,3.94,3.61,5.59,7.05,5.17,5.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68. Children under 5 years who are stunted11 (%),21.68,33.75,30.62,33.62,32.25,35.48,35.1,40.41,39.22,27.65,35.59,33.22,37.97,36.84,34.99,34.08,41.52,40.4,50.49,48.77,28.62,37.65,34.25,35.02,39.89,38.27,43.02,43.74,35.3,34.21,36.92,36.32,42.32,41.61,50.73,49.03,45.38,44.24,50.11,48.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69. Children under 5 years who are wasted11 (%),27.27,29.56,28.97,22.55,22.33,18.83,18.56,20.63,19.38,21.83,27.29,25.66,21.16,21.74,25.74,26.81,17.39,17.59,16.82,17.15,18.01,23.05,21.15,16.77,20.82,19.48,20.25,19.77,27.65,26.95,31.83,30.88,36.04,33.91,32.34,30.47,34.13,32.25,25.65,26.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70. Children under 5 years who are severely wasted12 (%),9.57,10.38,10.17,7.12,6.57,4.69,4.76,8.72,8.14,6.28,6.78,6.63,6.09,7.32,13.1,13.38,4.23,4.25,5.69,6.24,7.19,6.87,6.99,4.7,5.14,4.99,5.76,5.78,9.6,9.86,10.3,10.09,15.85,15.39,17.11,16.16,15.11,13.97,13.65,13.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71. Children under 5 years who are underweight11 (%),24.88,37.88,34.52,36.27,34.7,36.43,35.2,38.3,37.13,29.53,39.61,36.6,35.9,34.66,35.27,33.33,39.63,38.43,36.57,36.63,29.42,40.4,36.27,32.43,39.78,37.35,38.37,38.06,39.89,40.15,51.49,49.94,53.09,50.55,50.48,49.21,53.32,51.56,46.05,47.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),18.1,27.8,24.71,38.21,35.91,29.34,28.29,30.22,28.37,20.49,35.78,29.91,28.63,27.01,14.02,13.53,34.71,32.87,16.96,16.29,18.24,28.29,24.12,17.62,32.3,26.7,29.42,28.57,31.37,29.78,37.94,35.48,40.64,37.14,24.05,23.9,42.97,40.64,19.49,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),11.51,9.46,10.08,30.89,27.83,26.97,25.57,20.26,18.84,24.7,34.71,31.43,21.17,19.84,17.66,15.02,21.22,20.12,14.69,13.73,30.73,37.5,34.79,29.31,23.94,25.95,22.37,22.6,23.65,27.43,32.65,27.7,33.67,31.29,16.92,16.44,26.03,25.01,13.5,12.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),19.59,7.08,11.06,4.81,8.59,7.46,8.17,9.78,12.29,26.79,7.34,14.81,12.51,13.87,7.03,10,7.46,8.75,5.18,6.99,29.05,11.1,18.55,26.15,11.53,17.1,6.86,7.8,7.3,10.03,7.06,9.27,2.42,6.33,3.13,3.95,3.07,4.86,1.74,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),21.52,10.09,13.55,4.47,7.51,5.85,8.31,6.75,12.24,21.62,3.7,9.58,6.39,7.43,5.78,10.25,9.96,8.81,5.85,5.35,23.71,7.25,13.82,19.25,12.13,14.8,6.89,8.46,6.46,6.84,10.72,13.84,2.17,5.26,3.31,4.77,2.81,2.16,7.3,7.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),28.42,35.57,33.71,37.3,38.61,31.28,31.11,40.11,38.84,30.45,42.77,39.09,34.89,35.6,29.44,31.06,37.12,37.56,27.34,29.69,39.8,47.16,44.42,50.12,45.56,47.11,37.06,38.04,57.23,52.66,60.53,61.85,60.17,59.4,47.27,48.18,71.82,71.26,49.86,51.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),34.33,37.72,36.65,36.19,35.05,35.71,35.15,42.47,41.78,39.03,49.31,45.36,40.94,40.25,41.52,40.14,34.26,34.46,45.23,44.42,46.18,50.88,48.94,48.33,52.44,50.89,50.64,49.35,58.57,55.54,67.91,67.75,68.78,68.15,60.91,59.49,77.55,75.3,70.14,70.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),26.09,37.64,34.7,38.41,37.57,55.03,54.48,NA,36.52,28.5,46.56,39.74,32.21,30.03,29.76,24.76,43.61,43.01,34.09,32.3,49.2,54.57,52.56,55.16,49.53,51.04,55.24,53.28,49.41,46.64,58.4,56.68,56.88,57.33,50.36,50.28,62.69,58.31,46.92,47.89,NA,NA,NA,NA,NA,NA,NA,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79. All women age 15-49 years who are anaemic (%),33.99,37.72,36.55,36.26,35.14,36.31,35.73,42.47,41.62,38.59,49.2,45.13,40.6,39.86,40.66,39.08,34.82,34.94,44.51,43.68,46.27,51.01,49.06,48.56,52.28,50.89,50.79,49.48,58.25,55.21,67.66,67.46,68.1,67.59,60.23,58.93,76.8,74.49,68.25,68.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),10.65,19.28,16.66,14.9,14.67,17.81,17.91,26.06,25.74,13.75,21.96,19.28,8.77,8.63,27.06,24.52,17.24,17.93,16.24,16.79,12.49,24.87,19.97,17.8,24.78,22.16,25.9,25.12,32.23,31.35,31.73,29.06,43.22,42.01,21.95,18.96,49.09,43.7,30.69,29.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81. Blood sugar level - high (>140 mg/dl) (%),5.11,4.23,4.51,3.3,3.8,4.33,4.37,9.39,8.67,6.74,5.93,6.24,7.07,7.25,3.31,3.33,7.11,7.75,3.49,3.59,8.66,7.76,8.13,7.23,4.61,5.58,6.68,6.53,5.15,4.77,6.25,6.45,5.93,6.4,3.89,5.1,5.19,5.05,3.96,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
